song,artist,genre
Monologue,테이,발라드
우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",발라드
그때 그 순간 그대로 (그그그),WSG워너비 (가야G),발라드
해요 (2022),#안녕,발라드 인디음악
사랑인가 봐,멜로망스,"발라드, 국내드라마"
내가 아니라도,주호,발라드
사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
나의 X에게,경서,발라드
너의 모든 순간,성시경,"발라드, 국내드라마"
취중고백,김민석 (멜로망스),발라드
다정히 내 이름을 부르면,"경서예지, 전건호",발라드
새벽에 걸려온 너의 전화는,한동근,발라드
우리들의 블루스,임영웅,발라드
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
밤하늘의 별을(2020),경서,발라드
못해,김나영,발라드
사랑한다고 말해줘,탑현,발라드
떠나보낼 준비해 둘걸 그랬어,임한별,발라드
그래서 그대는,이영현,발라드
스티커 사진,21학번,"발라드, 인디음악"
Nxde,(여자)아이들,댄스
ANTIFRAGILE,LE SSERAFIM (르세라핌),댄스
After LIKE,IVE (아이브),댄스
Hype boy,NewJeans,댄스
Attention,NewJeans,댄스
LOVE DIVE,IVE (아이브),댄스
Cookie,NewJeans,댄스
FOREVER 1,소녀시대 (GIRLS' GENERATION),댄스
FEARLESS,LE SSERAFIM (르세라핌),댄스
ELEVEN,IVE (아이브),댄스
That That (prod. & feat. SUGA of BTS),싸이 (PSY),댄스
SNEAKERS,ITZY (있지),댄스
도깨비불 (Illusion),aespa,댄스
POP!,나연 (TWICE),댄스
Dynamite,방탄소년단,댄스
DICE,NMIXX,댄스
Feel My Rhythm,Red Velvet (레드벨벳),댄스
INVU,태연 (TAEYEON),댄스
Girls,aespa,댄스
Butter,방탄소년단,댄스
새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),랩/힙합
Shut Down,BLACKPINK,랩/힙합
Pink Venom,BLACKPINK,랩/힙합
자격지심 (Feat. ZICO),BE'O (비오),랩/힙합
LAW (Prod. Czaer),"윤미래, 비비 (BIBI)",랩/힙합
내 기쁨은 너가 벤틀리를 끄는 거야,김승민,랩/힙합
LOVE me,BE'O (비오),랩/힙합
MY BAG,(여자)아이들,랩/힙합
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,랩/힙합
봄날,방탄소년단,랩/힙합
Yet To Come,방탄소년단,랩/힙합
OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",랩/힙합
A bientot,임영웅,랩/힙합
잠수이별 (Prod. 코드 쿤스트),"우원재, meenoi (미노이)",랩/힙합
리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),랩/힙합
"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합
문득,BE'O (비오),랩/힙합
HOT,세븐틴,랩/힙합
SUN GOES DOWN (Prod. R.Tee),"저스디스 (JUSTHIS), R.Tee",랩/힙합
Counting Stars (Feat. Beenzino),BE'O (비오),랩/힙합
Rush Hour (Feat. j-hope of BTS),Crush,R&B/Soul
딱 10CM만,"10CM, BIG Naughty (서동현)",R&B/Soul
정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),R&B/Soul
보고싶었어,WSG워너비 (4FIRE),R&B/Soul
너를 생각해,주시크 (Joosiq),"R&B/Soul, 인디음악"
GANADARA (Feat. 아이유),박재범,R&B/Soul
아무래도 난,주시크 (Joosiq),"R&B/Soul, 인디음악"
찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),"R&B/Soul, 인디음악"
"낭만교향곡 (Feat. CHANGMO, 박재범)",BIG Naughty (서동현),R&B/Soul
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"R&B/Soul, 인디음악"
헤픈 우연,헤이즈 (Heize),R&B/Soul
Beige coat,그리즐리 (Grizzly),"R&B/Soul, 인디음악"
Vancouver,BIG Naughty (서동현),R&B/Soul
바람기억,나얼,R&B/Soul
Change,(여자)아이들,R&B/Soul
Hurt,NewJeans,R&B/Soul
밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul
Number (Feat. BIG Naughty (서동현)),릴러말즈 (Leellamarz),R&B/Soul
Square (2017),백예린 (Yerin Baek),R&B/Soul
_WORLD,세븐틴,R&B/Soul
그라데이션,10CM,"인디음악, 포크/블루스"
해요 (2022),#안녕,"발라드, 인디음악"
Love story,볼빨간사춘기,"인디음악, 포크/블루스"
주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
스티커 사진,21학번,"발라드, 인디음악"
너를 생각해,주시크 (Joosiq),"R&B/Soul, 인디음악"
아무래도 난,주시크 (Joosiq),"R&B/Soul, 인디음악"
첫사랑,백아,"인디음악, 포크/블루스"
가을밤에 든 생각,잔나비,"인디음악, 록/메탈"
고백하는 취한밤에 (Prod. 2soo),임재현,"발라드, 인디음악"
오래된 노래,스탠딩 에그,"인디음악, 포크/블루스"
고백,멜로망스,"발라드, 인디음악"
달,스트레이 (The Stray),"발라드, 인디음악"
찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),"R&B/Soul, 인디음악"
뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,"인디음악, 록/메탈"
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"R&B/Soul, 인디음악"
선물,멜로망스,"발라드, 인디음악"
사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,"인디음악, 록/메탈"
나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,"발라드, 인디음악"
너의 번호를 누르고 (Prod. 영화처럼),#안녕,"발라드, 인디음악"
사건의 지평선,윤하 (YOUNHA),록/메탈
TOMBOY,(여자)아이들,록/메탈
주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
봄여름가을겨울 (Still Life),BIGBANG (빅뱅),록/메탈
신호등,이무진,록/메탈
strawberry moon,아이유,록/메탈
무지개,임영웅,록/메탈
The Astronaut,진,록/메탈
가을밤에 든 생각,잔나비,"인디음악, 록/메탈"
LOVE,(여자)아이들,록/메탈
Blueming,아이유,록/메탈
Monologue,버즈,록/메탈
뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,"인디음악, 록/메탈"
"스물다섯, 스물하나",자우림,록/메탈
사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,"인디음악, 록/메탈"
에잇(Prod.&Feat. SUGA of BTS),아이유,록/메탈
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"록/메탈, 국내드라마"
예뻤어,DAY6 (데이식스),록/메탈
한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
사랑했나봐,윤도현,록/메탈
이제 나만 믿어요,임영웅,성인가요/트로트
사랑역,임영웅,성인가요/트로트
사랑해요 그대를,임영웅,성인가요/트로트
보금자리,임영웅,성인가요/트로트
별빛 같은 나의 사랑아,임영웅,성인가요/트로트
다시 사랑한다면 (김필 Ver.),임영웅,성인가요/트로트
